artifact	artifact_size_bytes	artifact_mtime_iso	mentioned_in_colab_count	producer_candidate_count	consumer_candidate_count	commented_candidate_count	producer_candidates	consumer_candidates	commented_candidates	all_candidates
S_669_pmppn_info_dict_V3.pickle	45318104	2022-08-30T21:35:10	2	0	2	0		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer
S_921_full_feature_dict.pickle	32278828	2022-08-16T11:21:29	3	0	2	1		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer	ProteinMPNNTesting_V6_V2_debug.ipynb:cell26:commented_producer_or_consumer	ProteinMPNNTesting_V6_V2_debug.ipynb:cell26:commented_producer_or_consumer | Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer
S_921_pmppn_info_dict.pickle	31611020	2022-08-15T22:19:15	1	0	0	1			ProteinMPNNTesting_V6.ipynb:cell17:commented_producer_or_consumer	ProteinMPNNTesting_V6.ipynb:cell17:commented_producer_or_consumer
S_921_pmppn_info_dict_V2.pickle	55304432	2022-08-25T22:03:49	1	0	1	0		Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer		Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer
S_921_pmppn_info_dict_V3.pickle	64760657	2022-08-30T20:42:04	2	0	2	0		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer
Ssym_full_feature_dict.pickle	12435907	2022-08-16T10:09:27	3	0	2	1		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer	Ssym_ProteinMPNNTesting_V6.ipynb:cell22:commented_producer_or_consumer	Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer | Ssym_ProteinMPNNTesting_V6.ipynb:cell22:commented_producer_or_consumer
Ssym_pmppn_info_dict.pickle	12187799	2022-08-16T04:23:14	2	0	0	2			Ssym_ProteinMPNNTesting_V6.ipynb:cell15:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V6.ipynb:cell16:commented_consumer	Ssym_ProteinMPNNTesting_V6.ipynb:cell15:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V6.ipynb:cell16:commented_consumer
Ssym_pmppn_info_dict_V2.pickle	20991070	2022-08-25T22:22:41	3	0	1	2		Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer	Ssym_ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer	Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer | Ssym_ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer
Ssym_pmppn_info_dict_V3.pickle	24447664	2022-08-30T21:19:29	2	0	2	0		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer
dat.xlsx	46428	2022-08-11T02:13:52	5	0	0	5			ProteinMPNNTesting_V4.ipynb:cell15:commented_producer | ProteinMPNNTesting_V5.ipynb:cell15:commented_producer | ProteinMPNNTesting_V6.ipynb:cell16:commented_producer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell16:commented_producer | ProteinMPNNTesting_V7.ipynb:cell5:commented_producer	ProteinMPNNTesting_V4.ipynb:cell15:commented_producer | ProteinMPNNTesting_V5.ipynb:cell15:commented_producer | ProteinMPNNTesting_V6.ipynb:cell16:commented_producer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell16:commented_producer | ProteinMPNNTesting_V7.ipynb:cell5:commented_producer
feature_combo_model_dict.pickle	952599676	2022-08-18T09:11:07	4	0	0	4			Quick_Dirty_MPNN_ML_V2.ipynb:cell30:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell33:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell25:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell28:commented_producer_or_consumer	Quick_Dirty_MPNN_ML_V2.ipynb:cell30:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell33:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell25:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell28:commented_producer_or_consumer
feature_combo_result_dict.pickle	6490	2022-08-18T09:10:20	6	0	0	6			Quick_Dirty_MPNN_ML_V2.ipynb:cell29:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell31:commented_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell34:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell24:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell26:commented_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell29:commented_producer_or_consumer	Quick_Dirty_MPNN_ML_V2.ipynb:cell29:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell31:commented_consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell34:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell24:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell26:commented_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell29:commented_producer_or_consumer
incremental_feature_result_dict.pickle	3265	2022-09-01T21:16:33	8	0	0	8			Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell40:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell41:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell40:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell41:commented_consumer	Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell40:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell41:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell40:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell41:commented_consumer
list_incremental_feature_result_dict.pickle	50451	2022-09-12T18:17:04	4	0	0	4			Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell28:commented_consumer	Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell28:commented_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell27:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell28:commented_consumer
res_dict.pickle	19866522	2022-08-05T16:54:24	14	0	0	14			ProteinMPNNTesting.ipynb:cell12:commented_producer_or_consumer | ProteinMPNNTesting.ipynb:cell13:commented_consumer | ProteinMPNNTesting_V2.ipynb:cell12:commented_producer_or_consumer | ProteinMPNNTesting_V2.ipynb:cell13:commented_consumer | ProteinMPNNTesting_V3.ipynb:cell15:commented_producer_or_consumer | ProteinMPNNTesting_V3.ipynb:cell16:commented_consumer | ProteinMPNNTesting_V4.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V4.ipynb:cell17:commented_consumer | ProteinMPNNTesting_V5.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V5.ipynb:cell17:commented_consumer | S669_ProteinMPNNTesting_V3.ipynb:cell13:commented_producer_or_consumer | S669_ProteinMPNNTesting_V3.ipynb:cell14:commented_consumer | Ssym_ProteinMPNNTesting_V3.ipynb:cell13:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V3.ipynb:cell14:commented_consumer	ProteinMPNNTesting.ipynb:cell12:commented_producer_or_consumer | ProteinMPNNTesting.ipynb:cell13:commented_consumer | ProteinMPNNTesting_V2.ipynb:cell12:commented_producer_or_consumer | ProteinMPNNTesting_V2.ipynb:cell13:commented_consumer | ProteinMPNNTesting_V3.ipynb:cell15:commented_producer_or_consumer | ProteinMPNNTesting_V3.ipynb:cell16:commented_consumer | ProteinMPNNTesting_V4.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V4.ipynb:cell17:commented_consumer | ProteinMPNNTesting_V5.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V5.ipynb:cell17:commented_consumer | S669_ProteinMPNNTesting_V3.ipynb:cell13:commented_producer_or_consumer | S669_ProteinMPNNTesting_V3.ipynb:cell14:commented_consumer | Ssym_ProteinMPNNTesting_V3.ipynb:cell13:commented_producer_or_consumer | Ssym_ProteinMPNNTesting_V3.ipynb:cell14:commented_consumer
